O*NET-SOC Code,Title,training_and_experience_related_work_experience_ranked,training_and_experience_on_site_training_ranked,training_and_experience_on_the_job_training_ranked,training_and_experience_importance_ranked,training_and_experience_job_related_apprenticeship_importance_value,training_and_experience_on_site_or_in_plant_training_on_site_training_value,training_and_experience_on_the_job_training_on_the_job_training_value,training_and_experience_related_work_experience_related_work_experience_value
15-2021.00,Mathematicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.4,45.0,35.0,25.0
15-2031.00,Operations Research Analysts,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.86,23.81,9.52,25.0
15-2041.00,Statisticians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.9,38.1,5.0,28.57
15-2041.01,Biostatisticians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.08,16.67,4.17,16.67
15-2051.00,Data Scientists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.64,44.0,12.5,28.0
15-2051.01,Business Intelligence Analysts,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.82,27.27,13.64,0.0
15-2051.02,Clinical Data Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,15.0,15.0,5.0
15-2099.01,Bioinformatics Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,36.31,3.91,2.86
17-1011.00,"Architects, Except Landscape and Naval",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.39,21.74,8.7,13.04
17-1012.00,Landscape Architects,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.15,36.84,5.0,5.26
17-1021.00,Cartographers and Photogrammetrists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,24.9,0.0,35.73
17-1022.00,Surveyors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.5,20.0,5.0,20.0
17-1022.01,Geodetic Surveyors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.3,3.7,0.0,14.81
17-2011.00,Aerospace Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.51,20.2,0.0,15.05
17-2021.00,Agricultural Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.3,15.0,0.0,25.0
17-2031.00,Bioengineers and Biomedical Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.43,17.39,4.35,26.09
17-2041.00,Chemical Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.78,8.7,0.0,30.43
17-2051.00,Civil Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.71,42.86,14.29,23.81
17-2051.01,Transportation Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.41,31.82,4.55,36.36
17-2051.02,Water/Wastewater Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.17,34.78,8.7,18.18
17-2061.00,Computer Hardware Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.93,17.24,10.34,10.34
17-2071.00,Electrical Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.62,9.03,1.11,0.0
17-2072.00,"Electronics Engineers, Except Computer",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.62,4.69,2.11,11.05
17-2072.01,Radio Frequency Identification Device Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,9.16,0.0,0.0
17-2081.00,Environmental Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.9,38.1,19.05,42.86
17-2111.02,Fire-Prevention and Protection Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.38,34.62,7.69,30.77
17-2112.00,Industrial Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,10.69,0.0,0.0
17-2112.01,Human Factors Engineers and Ergonomists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.2,25.0,0.0,25.0
17-2112.02,Validation Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.9,5.0,5.0,0.0
17-2112.03,Manufacturing Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.27,19.23,11.54,15.38
17-2121.00,Marine Engineers and Naval Architects,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.58,15.79,0.0,5.26
17-2131.00,Materials Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.12,12.0,0.0,32.0
17-2141.00,Mechanical Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.26,13.57,4.76,9.31
17-2141.01,Fuel Cell Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.91,9.09,4.55,13.64
17-2141.02,Automotive Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.05,0.0,0.0,23.81
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.83,9.37,1.24,9.08
17-2161.00,Nuclear Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.76,0.0,4.76,14.29
17-2171.00,Petroleum Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.76,0.78,5.41,5.8
17-2199.03,"Energy Engineers, Except Wind and Solar",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.2,10.0,0.0,20.0
17-2199.05,Mechatronics Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.45,26.52,0.0,26.52
17-2199.06,Microsystems Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,8.61,2.23,0.0
17-2199.07,Photonics Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.74,17.39,4.35,26.09
17-2199.08,Robotics Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.93,10.0,3.33,3.33
17-2199.09,Nanosystems Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.1,9.52,0.0,19.05
17-2199.10,Wind Energy Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,11.96,2.75,2.86
17-2199.11,Solar Energy Systems Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.36,14.29,0.0,10.71
17-3011.00,Architectural and Civil Drafters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.51,32.07,13.26,12.01
17-3012.00,Electrical and Electronics Drafters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,14.22,1.05,12.68
17-3013.00,Mechanical Drafters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.1,12.03,0.0,21.16
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,6.18,0.0,7.92
17-3022.00,Civil Engineering Technologists and Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,2.99,0.0,1.1
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.13,2.15,12.69,14.36
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,4.88,0.0,1.83
17-3024.01,Robotics Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.57,4.55,0.0,0.0
17-3025.00,Environmental Engineering Technologists and Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,11.49,11.49,10.95
17-3026.00,Industrial Engineering Technologists and Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.23,0.0,0.0,5.57
17-3026.01,Nanotechnology Engineering Technologists and Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.3,5.0,5.0,5.0
17-3027.00,Mechanical Engineering Technologists and Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.6,4.55,0.0,3.47
17-3027.01,Automotive Engineering Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,7.41,3.7,11.11
17-3029.01,Non-Destructive Testing Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.91,4.55,0.0,36.36
17-3029.08,Photonics Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.14,4.55,0.0,13.64
