ONET_SOC_CODE,Title,education_required_level_ranked,education_importance_ranked,education_required_quantity_ranked,education_category_10_required_level_value,education_category_10_required_quantity_value,education_category_11_required_level_value,education_category_11_required_quantity_value,education_category_12_required_level_value,education_category_12_required_quantity_value,education_category_1_required_level_value,education_category_1_required_quantity_value,education_category_2_required_level_value,education_category_2_required_quantity_value,education_category_3_required_level_value,education_category_3_required_quantity_value,education_category_4_required_level_value,education_category_4_required_quantity_value,education_category_5_required_level_value,education_category_5_required_quantity_value,education_category_6_required_level_value,education_category_6_required_quantity_value,education_category_7_required_level_value,education_category_7_required_quantity_value,education_category_8_required_level_value,education_category_8_required_quantity_value,education_category_9_required_level_value,education_category_9_required_quantity_value
13-2052.00,Personal Financial Advisors,category_6|category_7|category_8|category_3|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,7.69,,0.0,,0.0,,57.69,,23.08,,11.54,,0.0,
13-2053.00,Insurance Underwriters,category_6|category_2|category_5|category_4|category_7,,,0.0,,0.0,,0.0,,0.0,,10.0,,0.0,,6.67,,10.0,,70.0,,3.33,,0.0,,0.0,
13-2061.00,Financial Examiners,category_6|category_7|category_8|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,86.96,,8.7,,4.35,,0.0,
13-2071.00,Credit Counselors,,,category_6|category_2|category_5|category_7|category_3,,0.0,,0.0,,0.0,,0.0,,20.69,,6.9,,6.9,,20.69,,31.03,,10.34,,3.45,,0.0
13-2072.00,Loan Officers,category_6|category_4|category_5|category_2|category_7,,,0.0,,0.0,,0.0,,0.0,,6.13,,0.0,,12.83,,11.18,,68.74,,1.12,,0.0,,0.0,
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",category_6|category_5|category_2|category_4|category_8,,,0.24,,0.0,,0.0,,0.0,,23.17,,0.0,,13.7,,25.59,,33.61,,0.0,,3.7,,0.0,
13-2082.00,Tax Preparers,category_2|category_3|category_6|category_5|category_1,,,0.0,,0.0,,0.0,,0.0,,38.1,,23.81,,0.0,,14.29,,23.81,,0.0,,0.0,,0.0,
13-2099.01,Financial Quantitative Analysts,category_8|category_6|category_11|category_1|category_2,,,0.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,35.0,,0.0,,60.0,,0.0,
13-2099.04,"Fraud Examiners, Investigators and Analysts",,,category_6|category_4|category_5|category_7|category_8,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.17,,4.17,,83.33,,4.17,,4.17,,0.0
15-1211.00,Computer Systems Analysts,category_5|category_6|category_4|category_8|category_2,,,0.0,,0.0,,0.0,,0.0,,0.77,,0.54,,4.62,,50.71,,41.93,,0.0,,1.42,,0.0,
15-1211.01,Health Informatics Specialists,category_8|category_6|category_7|category_3|category_5,,,0.0,,4.76,,0.0,,0.0,,0.0,,4.76,,0.0,,4.76,,19.05,,9.52,,52.38,,4.76,
15-1212.00,Information Security Analysts,category_6|category_7|category_5|category_3|category_8,,,0.0,,0.0,,0.0,,0.0,,0.0,,7.16,,2.01,,12.87,,52.64,,22.52,,2.8,,0.0,
15-1221.00,Computer and Information Research Scientists,category_6|category_11|category_8|category_4|category_12,,,2.58,,28.42,,4.5,,0.0,,0.0,,0.0,,8.35,,0.0,,36.22,,0.0,,19.93,,0.0,
15-1231.00,Computer Network Support Specialists,category_6|category_5|category_4|category_3|category_2,,,0.0,,0.0,,0.0,,0.0,,4.23,,10.16,,13.63,,21.68,,46.93,,1.84,,0.0,,1.53,
15-1232.00,Computer User Support Specialists,category_6|category_3|category_5|category_10|category_4,,,4.05,,0.0,,0.0,,0.0,,0.32,,32.33,,1.92,,13.74,,47.32,,0.0,,0.32,,0.0,
15-1241.00,Computer Network Architects,category_6|category_3|category_5|category_1|category_7,,,0.0,,0.0,,0.0,,5.0,,0.0,,15.0,,0.0,,15.0,,55.0,,5.0,,5.0,,0.0,
15-1241.01,Telecommunications Engineering Specialists,,,category_5|category_6|category_3|category_4|category_2,,0.0,,0.0,,0.0,,0.0,,9.68,,12.9,,12.9,,32.26,,25.81,,0.0,,6.45,,0.0
15-1242.00,Database Administrators,category_6|category_7|category_5|category_4|category_8,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15,,2.21,,3.46,,88.98,,3.91,,1.29,,0.0,
15-1243.00,Database Architects,category_6|category_8|category_3|category_7|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,4.76,,0.0,,0.0,,76.19,,4.76,,14.29,,0.0,
15-1243.01,Data Warehousing Specialists,category_6|category_2|category_3|category_4|category_5,,,0.0,,0.0,,0.0,,0.0,,4.35,,4.35,,4.35,,4.35,,78.26,,0.0,,4.35,,0.0,
15-1244.00,Network and Computer Systems Administrators,,,category_5|category_6|category_3|category_2|category_4,,0.0,,0.0,,0.0,,0.0,,13.33,,20.0,,6.67,,30.0,,26.67,,3.33,,0.0,,0.0
15-1251.00,Computer Programmers,category_6|category_5|category_4|category_8|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.52,,8.99,,88.04,,0.0,,0.45,,0.0,
15-1252.00,Software Developers,category_6|category_5|category_8|category_2|category_3,,,0.0,,0.0,,0.0,,0.0,,3.13,,1.67,,0.0,,5.07,,84.8,,0.81,,4.52,,0.0,
15-1253.00,Software Quality Assurance Analysts and Testers,category_6|category_5|category_3|category_4|category_2,,,0.0,,0.0,,0.0,,0.0,,2.94,,8.82,,8.82,,26.47,,50.0,,0.0,,2.94,,0.0,
15-1254.00,Web Developers,category_6|category_3|category_5|category_2|category_1,,,0.0,,0.0,,0.0,,4.17,,8.33,,16.67,,4.17,,16.67,,45.83,,4.17,,0.0,,0.0,
15-1255.00,Web and Digital Interface Designers,,,category_6|category_7|category_5|category_8|category_1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,15.86,,52.42,,29.58,,2.14,,0.0
15-1255.01,Video Game Designers,category_6|category_2|category_1|category_4|category_5,,,0.0,,0.0,,0.0,,10.0,,15.0,,0.0,,10.0,,10.0,,55.0,,0.0,,0.0,,0.0,
