O*NET-SOC Code,Title,career_interest_types_ranked_OI,career_interest_types_OI_artistic_value,career_interest_types_OI_conventional_value,career_interest_types_OI_enterprising_value,career_interest_types_OI_investigative_value,career_interest_types_OI_realistic_value,career_interest_types_OI_social_value,career_interest_types_IH_first_interest_high_point_value,career_interest_types_IH_second_interest_high_point_value,career_interest_types_IH_third_interest_high_point_value
15-2021.00,Mathematicians,investigative|conventional|artistic|realistic|social|enterprising,3.23,5.03,1.11,7.0,3.22,1.95,2.0,6.0,0.0
15-2031.00,Operations Research Analysts,investigative|conventional|enterprising|artistic|social|realistic,2.18,5.76,3.14,6.26,1.9,2.02,2.0,6.0,0.0
15-2041.00,Statisticians,investigative|conventional|realistic|enterprising|artistic|social,1.77,6.03,1.82,6.58,2.14,1.71,2.0,6.0,0.0
15-2041.01,Biostatisticians,investigative|conventional|social|artistic|realistic|enterprising,2.8,4.4,1.98,7.0,2.43,3.11,2.0,6.0,0.0
15-2051.00,Data Scientists,investigative|conventional|artistic|realistic|enterprising|social,2.61,5.39,1.71,6.98,2.17,1.66,2.0,6.0,0.0
15-2051.01,Business Intelligence Analysts,conventional|investigative|enterprising|artistic|social|realistic,1.93,5.79,4.42,5.41,1.24,1.85,6.0,2.0,5.0
15-2051.02,Clinical Data Managers,conventional|investigative|enterprising|social|artistic|realistic,1.27,6.58,3.3,5.66,1.25,2.82,6.0,2.0,0.0
15-2099.01,Bioinformatics Technicians,investigative|conventional|realistic|social|artistic|enterprising,1.58,6.04,1.0,6.42,3.81,1.69,2.0,6.0,1.0
17-1011.00,"Architects, Except Landscape and Naval",realistic|conventional|artistic|investigative|enterprising|social,4.13,4.44,3.65,3.88,4.92,2.53,1.0,6.0,3.0
17-1012.00,Landscape Architects,realistic|investigative|artistic|conventional|enterprising|social,4.68,3.7,3.65,4.73,5.42,2.67,1.0,2.0,3.0
17-1021.00,Cartographers and Photogrammetrists,conventional|investigative|realistic|artistic|social|enterprising,3.55,5.34,1.64,5.18,4.62,1.78,6.0,2.0,1.0
17-1022.00,Surveyors,conventional|realistic|investigative|artistic|enterprising|social,2.12,5.29,1.88,4.73,5.25,1.63,6.0,1.0,2.0
17-1022.01,Geodetic Surveyors,realistic|investigative|conventional|social|enterprising|artistic,1.54,5.29,1.61,5.4,5.5,1.74,1.0,2.0,6.0
17-2011.00,Aerospace Engineers,investigative|realistic|conventional|enterprising|artistic|social,2.35,4.44,2.52,6.05,5.65,1.25,2.0,1.0,6.0
17-2021.00,Agricultural Engineers,realistic|investigative|conventional|enterprising|artistic|social,2.19,3.77,2.31,6.29,6.65,1.73,1.0,2.0,0.0
17-2031.00,Bioengineers and Biomedical Engineers,investigative|realistic|conventional|social|artistic|enterprising,2.11,4.48,1.84,6.75,5.44,2.45,2.0,1.0,6.0
17-2041.00,Chemical Engineers,realistic|investigative|conventional|enterprising|artistic|social,1.8,4.54,1.85,5.75,6.27,1.02,1.0,2.0,6.0
17-2051.00,Civil Engineers,realistic|investigative|conventional|enterprising|artistic|social,2.21,4.61,2.66,5.15,6.43,1.69,1.0,2.0,6.0
17-2051.01,Transportation Engineers,realistic|investigative|conventional|enterprising|artistic|social,2.13,4.41,3.09,5.08,5.37,1.97,1.0,2.0,6.0
17-2051.02,Water/Wastewater Engineers,realistic|investigative|conventional|enterprising|artistic|social,1.85,4.53,2.9,5.35,5.62,1.76,1.0,2.0,6.0
17-2061.00,Computer Hardware Engineers,realistic|investigative|conventional|enterprising|artistic|social,1.83,5.37,1.98,5.56,5.69,1.82,1.0,2.0,6.0
17-2071.00,Electrical Engineers,realistic|investigative|conventional|enterprising|artistic|social,2.12,4.43,2.44,5.45,6.02,1.72,1.0,2.0,6.0
17-2072.00,"Electronics Engineers, Except Computer",realistic|investigative|conventional|artistic|enterprising|social,2.03,4.68,1.62,5.81,6.24,1.59,1.0,2.0,6.0
17-2072.01,Radio Frequency Identification Device Specialists,conventional|realistic|investigative|enterprising|social|artistic,1.41,5.31,1.56,4.85,5.08,1.54,6.0,1.0,2.0
17-2081.00,Environmental Engineers,investigative|realistic|conventional|enterprising|social|artistic,1.96,4.59,3.17,6.1,5.17,2.22,2.0,1.0,6.0
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",investigative|realistic|conventional|enterprising|social|artistic,1.04,4.68,2.27,5.63,5.36,2.17,2.0,1.0,6.0
17-2111.02,Fire-Prevention and Protection Engineers,realistic|investigative|conventional|social|enterprising|artistic,1.47,4.47,2.8,5.19,6.33,2.84,1.0,2.0,6.0
17-2112.00,Industrial Engineers,conventional|investigative|realistic|enterprising|artistic|social,1.58,5.35,3.29,4.99,4.96,1.37,6.0,2.0,1.0
17-2112.01,Human Factors Engineers and Ergonomists,investigative|realistic|conventional|artistic|enterprising|social,2.65,4.4,2.59,6.21,4.54,2.15,2.0,1.0,6.0
17-2112.02,Validation Engineers,investigative|conventional|realistic|enterprising|artistic|social,1.48,5.07,2.02,5.56,4.85,1.43,2.0,6.0,1.0
17-2112.03,Manufacturing Engineers,realistic|investigative|conventional|enterprising|artistic|social,2.22,4.41,3.09,4.53,5.27,1.6,1.0,2.0,6.0
17-2121.00,Marine Engineers and Naval Architects,realistic|investigative|conventional|enterprising|artistic|social,2.62,4.31,3.26,5.71,5.74,1.27,1.0,2.0,6.0
17-2131.00,Materials Engineers,realistic|investigative|conventional|artistic|enterprising|social,2.54,4.11,2.06,5.82,5.88,1.38,1.0,2.0,6.0
17-2141.00,Mechanical Engineers,realistic|investigative|conventional|artistic|enterprising|social,2.02,4.83,1.97,5.12,6.39,1.22,1.0,2.0,6.0
17-2141.01,Fuel Cell Engineers,realistic|investigative|conventional|enterprising|artistic|social,1.83,4.06,2.51,5.37,5.53,1.44,1.0,2.0,6.0
17-2141.02,Automotive Engineers,realistic|investigative|conventional|artistic|enterprising|social,2.55,4.06,2.13,5.67,6.17,1.37,1.0,2.0,6.0
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",realistic|investigative|conventional|enterprising|social|artistic,1.55,4.64,2.75,5.58,6.08,1.84,1.0,2.0,6.0
17-2161.00,Nuclear Engineers,investigative|realistic|conventional|enterprising|artistic|social,2.05,4.48,2.53,6.44,4.92,1.89,2.0,1.0,6.0
17-2171.00,Petroleum Engineers,realistic|investigative|conventional|enterprising|artistic|social,1.92,4.32,3.04,5.33,5.37,1.78,1.0,2.0,6.0
17-2199.03,"Energy Engineers, Except Wind and Solar",realistic|investigative|conventional|enterprising|social|artistic,2.03,4.4,3.09,4.69,5.2,2.24,1.0,2.0,6.0
