O*NET-SOC Code,Title,career_interest_types_ranked_OI,career_interest_types_OI_artistic_value,career_interest_types_OI_conventional_value,career_interest_types_OI_enterprising_value,career_interest_types_OI_investigative_value,career_interest_types_OI_realistic_value,career_interest_types_OI_social_value,career_interest_types_IH_first_interest_high_point_value,career_interest_types_IH_second_interest_high_point_value,career_interest_types_IH_third_interest_high_point_value
27-1021.00,Commercial and Industrial Designers,artistic|realistic|investigative|enterprising|conventional|social,5.54,3.47,3.7,4.06,4.62,1.84,3.0,1.0,2.0
27-1022.00,Fashion Designers,artistic|realistic|enterprising|conventional|social|investigative,7.0,2.94,3.96,2.17,4.34,2.35,3.0,1.0,5.0
27-1023.00,Floral Designers,realistic|artistic|conventional|enterprising|social|investigative,4.45,3.88,3.74,1.64,5.07,2.45,1.0,3.0,6.0
27-1024.00,Graphic Designers,artistic|conventional|enterprising|realistic|investigative|social,7.0,3.92,3.43,2.86,3.38,2.16,3.0,6.0,0.0
27-1025.00,Interior Designers,artistic|realistic|conventional|enterprising|investigative|social,5.56,3.82,3.7,3.07,4.12,2.68,3.0,1.0,0.0
27-1026.00,Merchandise Displayers and Window Trimmers,artistic|realistic|enterprising|conventional|social|investigative,4.7,3.09,4.28,1.51,4.45,2.19,3.0,1.0,5.0
27-1027.00,Set and Exhibit Designers,artistic|enterprising|realistic|conventional|social|investigative,6.69,3.27,3.93,2.75,3.7,3.04,3.0,0.0,0.0
27-2011.00,Actors,artistic|social|enterprising|realistic|investigative|conventional,7.0,1.81,4.0,2.16,2.29,4.08,3.0,4.0,5.0
27-2012.00,Producers and Directors,artistic|enterprising|conventional|social|investigative|realistic,6.14,3.56,5.78,2.24,2.13,3.12,3.0,5.0,0.0
27-2012.03,Media Programming Directors,enterprising|conventional|artistic|social|investigative|realistic,4.09,4.63,6.55,2.25,1.43,3.68,5.0,6.0,3.0
27-2012.04,Talent Directors,enterprising|artistic|social|conventional|investigative|realistic,5.69,3.57,5.93,1.42,1.22,4.27,5.0,3.0,4.0
27-2012.05,Media Technical Directors/Managers,enterprising|conventional|realistic|artistic|investigative|social,3.44,4.47,5.18,2.78,3.96,2.61,5.0,6.0,1.0
27-2021.00,Athletes and Sports Competitors,realistic|enterprising|social|conventional|artistic|investigative,2.14,3.01,4.53,1.4,5.18,4.3,1.0,5.0,4.0
27-2022.00,Coaches and Scouts,social|enterprising|realistic|conventional|artistic|investigative,2.43,3.45,5.15,2.15,4.25,5.31,4.0,5.0,1.0
27-2023.00,"Umpires, Referees, and Other Sports Officials",enterprising|conventional|realistic|social|investigative|artistic,1.15,4.53,5.77,1.6,4.3,3.44,5.0,6.0,1.0
27-2031.00,Dancers,artistic|realistic|social|enterprising|conventional|investigative,6.39,1.61,3.18,1.43,4.83,3.65,3.0,1.0,4.0
27-2032.00,Choreographers,artistic|social|enterprising|realistic|investigative|conventional,7.0,2.13,3.77,2.22,3.63,3.96,3.0,4.0,0.0
27-2041.00,Music Directors and Composers,artistic|enterprising|social|conventional|investigative|realistic,7.0,2.63,4.82,2.28,2.07,3.04,3.0,5.0,0.0
27-2042.00,Musicians and Singers,artistic|enterprising|social|realistic|conventional|investigative,6.66,2.17,3.42,1.53,2.87,3.41,3.0,5.0,0.0
27-2091.00,"Disc Jockeys, Except Radio",artistic|enterprising|conventional|realistic|social|investigative,4.82,3.5,3.55,1.55,3.0,2.93,3.0,5.0,6.0
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,artistic|enterprising|social|conventional|investigative|realistic,5.68,3.11,4.38,2.01,1.66,3.54,3.0,5.0,4.0
27-3023.00,"News Analysts, Reporters, and Journalists",artistic|investigative|enterprising|conventional|social|realistic,5.09,3.64,3.95,4.16,1.47,2.8,3.0,2.0,5.0
27-3031.00,Public Relations Specialists,enterprising|artistic|social|conventional|investigative|realistic,4.68,3.45,5.82,2.72,1.0,3.94,5.0,3.0,4.0
27-3041.00,Editors,artistic|conventional|enterprising|investigative|social|realistic,5.39,4.68,4.13,2.9,1.03,2.56,3.0,6.0,5.0
27-3042.00,Technical Writers,conventional|artistic|investigative|realistic|social|enterprising,4.23,5.32,1.97,3.69,2.78,2.01,6.0,3.0,2.0
27-3043.00,Writers and Authors,artistic|enterprising|conventional|investigative|social|realistic,6.68,3.34,4.75,3.25,1.0,2.86,3.0,5.0,0.0
27-3043.05,"Poets, Lyricists and Creative Writers",artistic|investigative|enterprising|conventional|social|realistic,7.0,2.88,3.17,3.58,1.17,2.83,3.0,2.0,0.0
27-3091.00,Interpreters and Translators,conventional|artistic|social|investigative|enterprising|realistic,4.28,4.79,1.9,3.19,1.89,3.48,6.0,3.0,4.0
27-3092.00,Court Reporters and Simultaneous Captioners,conventional|artistic|social|enterprising|realistic|investigative,2.92,5.62,2.64,2.13,2.21,2.9,6.0,0.0,0.0
27-4011.00,Audio and Video Technicians,realistic|conventional|artistic|investigative|social|enterprising,3.24,4.58,1.87,2.74,5.2,1.97,1.0,6.0,0.0
27-4012.00,Broadcast Technicians,conventional|realistic|investigative|artistic|enterprising|social,2.82,5.14,2.5,2.99,4.8,2.13,6.0,1.0,0.0
27-4014.00,Sound Engineering Technicians,realistic|artistic|conventional|investigative|enterprising|social,4.45,4.22,2.16,2.68,5.14,1.69,1.0,3.0,6.0
27-4015.00,Lighting Technicians,realistic|conventional|artistic|investigative|enterprising|social,2.38,4.11,1.95,2.02,6.99,1.24,1.0,6.0,0.0
27-4021.00,Photographers,realistic|artistic|conventional|enterprising|investigative|social,5.28,3.35,2.28,2.18,5.54,1.94,1.0,3.0,0.0
27-4031.00,"Camera Operators, Television, Video, and Film",artistic|realistic|conventional|enterprising|investigative|social,5.04,3.65,2.28,2.0,4.89,1.8,3.0,1.0,6.0
27-4032.00,Film and Video Editors,artistic|conventional|realistic|enterprising|social|investigative,5.61,3.75,3.08,1.91,3.14,1.96,3.0,6.0,0.0
29-1011.00,Chiropractors,social|realistic|investigative|conventional|enterprising|artistic,1.34,3.55,2.13,4.77,5.53,5.56,4.0,1.0,2.0
29-1021.00,"Dentists, General",investigative|realistic|social|conventional|enterprising|artistic,1.17,3.71,2.0,5.48,5.23,4.41,2.0,1.0,4.0
29-1022.00,Oral and Maxillofacial Surgeons,investigative|realistic|social|conventional|enterprising|artistic,1.17,3.6,2.17,5.84,5.75,4.47,2.0,1.0,4.0
29-1023.00,Orthodontists,investigative|realistic|conventional|social|artistic|enterprising,1.57,4.58,1.45,5.72,5.6,4.01,2.0,1.0,6.0
29-1024.00,Prosthodontists,realistic|investigative|social|conventional|artistic|enterprising,1.78,3.22,1.43,5.54,6.17,4.59,1.0,2.0,4.0
29-1031.00,Dietitians and Nutritionists,social|investigative|enterprising|conventional|realistic|artistic,2.4,3.35,3.42,4.8,3.03,5.5,4.0,2.0,0.0
29-1041.00,Optometrists,investigative|social|realistic|conventional|enterprising|artistic,1.6,3.92,2.27,5.78,4.8,5.02,2.0,4.0,1.0
29-1051.00,Pharmacists,investigative|social|conventional|realistic|enterprising|artistic,1.48,4.56,2.62,5.67,2.82,4.88,2.0,4.0,6.0
29-1071.00,Physician Assistants,social|investigative|conventional|realistic|enterprising|artistic,1.16,4.46,1.98,4.94,4.0,5.89,4.0,2.0,6.0
29-1071.01,Anesthesiologist Assistants,conventional|social|investigative|realistic|enterprising|artistic,1.0,5.1,1.89,4.62,4.4,4.9,6.0,4.0,2.0
29-1081.00,Podiatrists,investigative|realistic|social|conventional|enterprising|artistic,1.72,3.27,2.14,5.77,5.29,4.94,2.0,1.0,4.0
29-1122.00,Occupational Therapists,social|investigative|realistic|conventional|artistic|enterprising,3.07,3.12,1.83,4.23,3.57,6.08,4.0,2.0,0.0
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",social|realistic|investigative|artistic|conventional|enterprising,3.2,2.83,2.12,3.89,3.93,6.52,4.0,1.0,2.0
29-1123.00,Physical Therapists,social|investigative|realistic|conventional|enterprising|artistic,2.17,3.07,2.49,4.87,4.33,5.91,4.0,2.0,1.0
29-1124.00,Radiation Therapists,realistic|social|investigative|conventional|enterprising|artistic,1.24,4.48,1.72,4.64,4.96,4.77,1.0,4.0,2.0
29-1125.00,Recreational Therapists,social|investigative|realistic|artistic|conventional|enterprising,2.87,2.67,2.51,4.32,3.69,6.82,4.0,2.0,0.0
29-1126.00,Respiratory Therapists,realistic|social|investigative|conventional|enterprising|artistic,1.0,3.93,1.68,4.73,5.03,4.88,1.0,4.0,2.0
29-1127.00,Speech-Language Pathologists,social|investigative|conventional|artistic|realistic|enterprising,3.0,4.03,1.44,5.57,2.62,6.09,4.0,2.0,6.0
29-1128.00,Exercise Physiologists,realistic|investigative|social|conventional|enterprising|artistic,1.49,3.75,2.99,4.92,5.26,4.74,1.0,2.0,4.0
29-1129.01,Art Therapists,social|artistic|investigative|realistic|conventional|enterprising,5.49,2.86,2.32,3.67,2.99,5.64,4.0,3.0,0.0
29-1129.02,Music Therapists,social|artistic|investigative|conventional|enterprising|realistic,4.76,3.15,2.51,4.18,2.36,5.23,4.0,3.0,2.0
29-1131.00,Veterinarians,investigative|realistic|conventional|social|enterprising|artistic,1.0,3.47,1.7,5.98,5.98,3.45,2.0,1.0,0.0
29-1141.00,Registered Nurses,social|conventional|investigative|realistic|enterprising|artistic,1.34,4.75,2.38,4.71,3.46,5.57,4.0,6.0,2.0
29-1141.01,Acute Care Nurses,social|investigative|realistic|conventional|enterprising|artistic,1.75,3.32,1.76,5.66,3.7,5.8,4.0,2.0,0.0
29-1141.02,Advanced Practice Psychiatric Nurses,social|investigative|conventional|artistic|realistic|enterprising,2.82,3.35,2.04,5.9,2.59,6.07,4.0,2.0,0.0
29-1141.03,Critical Care Nurses,social|investigative|conventional|realistic|enterprising|artistic,1.7,4.23,2.2,5.02,3.91,5.56,4.0,2.0,6.0
29-1141.04,Clinical Nurse Specialists,social|investigative|conventional|enterprising|realistic|artistic,1.81,4.04,3.69,4.86,2.34,6.23,4.0,2.0,6.0
29-1151.00,Nurse Anesthetists,social|investigative|realistic|conventional|enterprising|artistic,1.0,4.15,1.96,5.06,4.78,5.35,4.0,2.0,1.0
29-1161.00,Nurse Midwives,social|investigative|conventional|realistic|enterprising|artistic,1.94,3.4,2.97,4.25,3.24,5.96,4.0,2.0,0.0
29-1171.00,Nurse Practitioners,investigative|social|conventional|realistic|enterprising|artistic,1.38,4.06,2.07,5.54,3.56,5.52,2.0,4.0,6.0
29-1181.00,Audiologists,investigative|social|realistic|conventional|artistic|enterprising,2.18,3.97,1.81,5.93,3.98,5.92,2.0,4.0,0.0
29-1211.00,Anesthesiologists,investigative|social|realistic|conventional|enterprising|artistic,1.17,3.69,2.5,5.73,5.18,5.25,2.0,4.0,1.0
29-1212.00,Cardiologists,investigative|realistic|social|conventional|enterprising|artistic,1.15,4.0,2.28,6.87,4.96,4.73,2.0,1.0,4.0
29-1213.00,Dermatologists,investigative|realistic|social|conventional|artistic|enterprising,1.87,3.83,1.77,6.44,4.81,4.65,2.0,1.0,4.0
29-1214.00,Emergency Medicine Physicians,investigative|social|conventional|realistic|enterprising|artistic,1.0,4.22,2.68,5.64,4.15,5.6,2.0,4.0,6.0
29-1215.00,Family Medicine Physicians,social|investigative|conventional|realistic|enterprising|artistic,1.45,3.95,2.34,6.08,3.75,6.21,4.0,2.0,0.0
29-1216.00,General Internal Medicine Physicians,investigative|social|realistic|conventional|enterprising|artistic,1.44,3.63,2.1,6.81,4.43,6.08,2.0,4.0,1.0
29-1217.00,Neurologists,investigative|social|realistic|conventional|enterprising|artistic,2.08,3.69,2.39,7.0,4.1,5.02,2.0,4.0,0.0
29-1218.00,Obstetricians and Gynecologists,investigative|social|realistic|conventional|enterprising|artistic,1.45,3.72,2.74,5.5,4.59,5.45,2.0,4.0,1.0
29-1221.00,"Pediatricians, General",social|investigative|realistic|conventional|enterprising|artistic,1.88,3.58,2.54,6.18,3.64,6.64,4.0,2.0,0.0
29-1222.00,"Physicians, Pathologists",investigative|realistic|conventional|social|enterprising|artistic,1.36,4.72,1.76,7.0,4.86,3.6,2.0,1.0,6.0
29-1223.00,Psychiatrists,investigative|social|conventional|artistic|realistic|enterprising,2.65,3.6,1.95,6.59,2.3,5.83,2.0,4.0,0.0
29-1224.00,Radiologists,investigative|realistic|conventional|social|enterprising|artistic,1.37,4.47,2.17,6.62,4.89,3.85,2.0,1.0,6.0
29-1229.01,Allergists and Immunologists,investigative|social|realistic|conventional|enterprising|artistic,1.85,3.67,2.2,6.95,3.84,5.3,2.0,4.0,0.0
29-1229.02,Hospitalists,social|investigative|conventional|realistic|enterprising|artistic,1.64,3.9,3.14,4.58,3.55,6.27,4.0,2.0,0.0
29-1229.03,Urologists,investigative|social|realistic|conventional|enterprising|artistic,1.31,3.43,2.22,6.85,4.85,5.45,2.0,4.0,1.0
29-1229.04,Physical Medicine and Rehabilitation Physicians,investigative|social|realistic|conventional|artistic|enterprising,1.87,3.0,1.69,6.26,4.92,6.0,2.0,4.0,1.0
29-1229.05,Preventive Medicine Physicians,investigative|social|conventional|realistic|enterprising|artistic,1.88,3.39,2.37,6.7,3.37,5.43,2.0,4.0,0.0
29-1229.06,Sports Medicine Physicians,investigative|social|realistic|conventional|enterprising|artistic,1.2,3.52,3.34,5.36,5.19,5.27,2.0,4.0,1.0
29-1241.00,"Ophthalmologists, Except Pediatric",investigative|social|realistic|conventional|enterprising|artistic,1.7,3.72,2.98,6.24,4.4,5.46,2.0,4.0,1.0
29-1242.00,"Orthopedic Surgeons, Except Pediatric",investigative|realistic|social|conventional|enterprising|artistic,1.48,3.91,2.36,6.5,5.08,4.82,2.0,1.0,4.0
29-1243.00,Pediatric Surgeons,investigative|social|realistic|conventional|enterprising|artistic,1.55,3.91,2.43,6.52,4.95,4.99,2.0,4.0,1.0
29-1291.00,Acupuncturists,social|investigative|realistic|conventional|artistic|enterprising,2.08,3.06,1.6,5.49,4.8,5.65,4.0,2.0,1.0
29-1292.00,Dental Hygienists,social|realistic|investigative|conventional|enterprising|artistic,1.12,4.31,1.73,4.52,5.27,5.35,4.0,1.0,2.0
29-1299.01,Naturopathic Physicians,investigative|social|realistic|conventional|enterprising|artistic,1.81,3.25,1.98,5.89,4.53,5.73,2.0,4.0,1.0
29-1299.02,Orthoptists,investigative|realistic|social|conventional|artistic|enterprising,1.88,3.82,1.47,5.74,4.88,4.77,2.0,1.0,4.0
29-2011.00,Medical and Clinical Laboratory Technologists,investigative|realistic|conventional|social|enterprising|artistic,1.13,4.99,1.51,6.15,5.81,2.77,2.0,1.0,6.0
29-2011.01,Cytogenetic Technologists,investigative|realistic|conventional|social|enterprising|artistic,1.48,5.02,1.56,5.91,5.32,1.93,2.0,1.0,6.0
29-2011.02,Cytotechnologists,investigative|realistic|conventional|social|enterprising|artistic,1.1,4.89,1.84,6.06,5.92,2.41,2.0,1.0,6.0
29-2011.04,Histotechnologists,investigative|realistic|conventional|social|artistic|enterprising,1.31,5.16,1.05,6.56,5.72,2.89,2.0,1.0,6.0
29-2012.00,Medical and Clinical Laboratory Technicians,realistic|investigative|conventional|social|artistic|enterprising,1.0,4.85,1.0,5.89,6.01,2.88,1.0,2.0,6.0
29-2012.01,Histology Technicians,realistic|investigative|conventional|social|artistic|enterprising,1.26,5.03,1.0,5.37,6.29,2.12,1.0,2.0,6.0
29-2031.00,Cardiovascular Technologists and Technicians,realistic|investigative|conventional|social|enterprising|artistic,1.0,4.7,1.3,5.31,5.61,4.25,1.0,2.0,6.0
29-2032.00,Diagnostic Medical Sonographers,realistic|conventional|investigative|social|enterprising|artistic,1.32,5.05,1.51,4.75,5.87,4.1,1.0,6.0,2.0
29-2033.00,Nuclear Medicine Technologists,realistic|investigative|conventional|social|enterprising|artistic,1.0,5.2,1.31,5.57,5.99,3.08,1.0,2.0,6.0
29-2034.00,Radiologic Technologists and Technicians,realistic|conventional|investigative|social|artistic|enterprising,1.0,5.08,1.0,4.88,5.9,3.41,1.0,6.0,2.0
29-2035.00,Magnetic Resonance Imaging Technologists,realistic|conventional|investigative|social|enterprising|artistic,1.0,4.93,1.27,4.79,5.46,3.51,1.0,6.0,2.0
29-2036.00,Medical Dosimetrists,investigative|conventional|realistic|social|enterprising|artistic,1.32,5.0,2.21,5.3,4.57,3.57,2.0,6.0,1.0
29-2042.00,Emergency Medical Technicians,social|realistic|investigative|conventional|enterprising|artistic,1.0,3.76,1.56,4.57,5.46,5.56,4.0,1.0,2.0
29-2043.00,Paramedics,social|realistic|investigative|conventional|enterprising|artistic,1.0,3.42,1.91,5.03,5.2,5.49,4.0,1.0,2.0
29-2051.00,Dietetic Technicians,social|conventional|realistic|investigative|enterprising|artistic,2.54,3.82,2.57,3.45,3.81,5.05,4.0,6.0,1.0
29-2052.00,Pharmacy Technicians,conventional|realistic|social|investigative|enterprising|artistic,1.0,7.0,2.52,2.99,4.21,3.32,6.0,1.0,0.0
29-2053.00,Psychiatric Technicians,social|investigative|conventional|realistic|artistic|enterprising,2.12,3.46,1.46,4.57,3.29,6.93,4.0,2.0,0.0
29-2055.00,Surgical Technologists,realistic|conventional|social|investigative|enterprising|artistic,1.0,4.85,1.61,3.22,6.26,3.82,1.0,6.0,4.0
29-2056.00,Veterinary Technologists and Technicians,realistic|investigative|conventional|social|artistic|enterprising,1.0,4.56,1.0,5.26,6.71,3.02,1.0,2.0,6.0
29-2057.00,Ophthalmic Medical Technicians,realistic|investigative|social|conventional|enterprising|artistic,1.0,4.41,1.75,4.81,5.33,4.64,1.0,2.0,4.0
29-2061.00,Licensed Practical and Licensed Vocational Nurses,social|conventional|realistic|investigative|enterprising|artistic,1.05,4.58,2.13,3.67,4.58,5.5,4.0,6.0,1.0
29-2072.00,Medical Records Specialists,conventional|investigative|social|realistic|enterprising|artistic,1.0,6.95,1.88,4.33,2.86,3.41,6.0,2.0,0.0
29-2081.00,"Opticians, Dispensing",conventional|realistic|enterprising|social|investigative|artistic,1.41,5.43,3.33,2.28,4.35,3.05,6.0,1.0,0.0
29-2091.00,Orthotists and Prosthetists,realistic|investigative|social|conventional|artistic|enterprising,1.99,3.58,1.56,5.1,6.0,4.3,1.0,2.0,4.0
29-2092.00,Hearing Aid Specialists,social|conventional|investigative|realistic|artistic|enterprising,1.73,4.4,1.73,4.38,3.87,4.55,4.0,6.0,2.0
29-2099.01,Neurodiagnostic Technologists,investigative|realistic|conventional|social|enterprising|artistic,1.41,4.47,1.42,5.81,5.32,3.71,2.0,1.0,6.0
29-2099.05,Ophthalmic Medical Technologists,realistic|conventional|investigative|social|enterprising|artistic,1.12,4.73,2.02,4.71,5.41,4.32,1.0,6.0,2.0
29-2099.08,Patient Representatives,social|investigative|conventional|enterprising|artistic|realistic,1.59,3.83,3.12,4.06,1.27,6.62,4.0,2.0,6.0
29-9021.00,Health Information Technologists and Medical Registrars,conventional|investigative|social|realistic|enterprising|artistic,1.18,5.95,2.2,5.17,2.58,3.83,6.0,2.0,4.0
29-9091.00,Athletic Trainers,social|realistic|investigative|conventional|enterprising|artistic,1.15,3.22,2.24,4.4,5.63,5.75,4.0,1.0,2.0
29-9092.00,Genetic Counselors,investigative|social|conventional|enterprising|artistic|realistic,2.34,3.89,2.73,5.86,1.66,5.45,2.0,4.0,6.0
29-9093.00,Surgical Assistants,realistic|conventional|social|investigative|enterprising|artistic,1.0,4.4,1.78,3.45,5.7,3.84,1.0,6.0,4.0
29-9099.01,Midwives,social|realistic|investigative|conventional|enterprising|artistic,1.91,3.26,2.7,3.54,3.98,6.04,4.0,1.0,0.0
31-1121.00,Home Health Aides,social|realistic|conventional|investigative|enterprising|artistic,1.48,3.51,1.77,3.18,4.23,6.33,4.0,1.0,6.0
31-1122.00,Personal Care Aides,social|conventional|realistic|enterprising|investigative|artistic,1.79,3.92,2.55,1.8,3.51,6.19,4.0,6.0,1.0
31-1131.00,Nursing Assistants,social|realistic|conventional|investigative|enterprising|artistic,1.0,4.24,1.77,2.72,4.58,5.7,4.0,1.0,6.0
31-1132.00,Orderlies,realistic|conventional|social|investigative|enterprising|artistic,1.0,4.84,1.19,2.05,5.42,4.17,1.0,6.0,4.0
31-1133.00,Psychiatric Aides,social|investigative|conventional|realistic|artistic|enterprising,1.83,3.74,1.68,4.04,3.44,6.81,4.0,2.0,6.0
31-2011.00,Occupational Therapy Assistants,social|conventional|realistic|investigative|artistic|enterprising,2.06,4.21,1.14,3.48,3.53,6.1,4.0,6.0,1.0
31-2012.00,Occupational Therapy Aides,social|realistic|conventional|investigative|enterprising|artistic,1.69,3.72,1.82,2.55,3.91,6.0,4.0,1.0,6.0
31-2021.00,Physical Therapist Assistants,social|realistic|conventional|investigative|artistic|enterprising,1.53,3.76,1.31,3.65,4.45,6.41,4.0,1.0,6.0
31-2022.00,Physical Therapist Aides,social|realistic|conventional|investigative|enterprising|artistic,1.07,3.92,2.06,2.58,4.74,5.95,4.0,1.0,6.0
31-9011.00,Massage Therapists,social|realistic|investigative|conventional|artistic|enterprising,2.23,2.66,2.1,3.79,4.84,5.75,4.0,1.0,2.0
31-9091.00,Dental Assistants,conventional|realistic|social|investigative|enterprising|artistic,1.0,5.43,1.34,3.55,4.48,4.37,6.0,1.0,4.0
31-9092.00,Medical Assistants,conventional|social|realistic|investigative|enterprising|artistic,1.0,5.75,1.98,3.8,4.06,4.8,6.0,4.0,1.0
31-9093.00,Medical Equipment Preparers,realistic|conventional|investigative|social|artistic|enterprising,1.0,5.53,1.0,3.42,6.77,2.36,1.0,6.0,2.0
31-9094.00,Medical Transcriptionists,conventional|social|investigative|realistic|artistic|enterprising,1.74,6.25,1.26,3.6,2.47,3.69,6.0,4.0,2.0
31-9095.00,Pharmacy Aides,conventional|enterprising|realistic|social|investigative|artistic,1.0,6.79,3.84,1.57,3.75,3.11,6.0,5.0,1.0
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,realistic|investigative|conventional|social|artistic|enterprising,1.0,3.96,1.0,4.25,6.33,3.51,1.0,2.0,6.0
31-9097.00,Phlebotomists,realistic|conventional|investigative|social|enterprising|artistic,1.0,5.42,1.4,4.69,5.44,3.6,1.0,6.0,2.0
31-9099.01,Speech-Language Pathology Assistants,social|conventional|investigative|artistic|realistic|enterprising,2.65,5.0,1.53,4.37,2.47,5.48,4.0,6.0,2.0
31-9099.02,Endoscopy Technicians,realistic|conventional|investigative|social|enterprising|artistic,1.0,5.14,1.07,4.09,6.46,3.0,1.0,6.0,2.0
33-1011.00,First-Line Supervisors of Correctional Officers,enterprising|conventional|social|realistic|investigative|artistic,1.0,5.06,6.32,1.8,3.58,4.54,5.0,6.0,4.0
33-1012.00,First-Line Supervisors of Police and Detectives,enterprising|conventional|social|realistic|investigative|artistic,1.01,5.09,6.88,2.34,3.45,3.78,5.0,6.0,0.0
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,enterprising|realistic|conventional|social|investigative|artistic,1.0,4.66,6.15,2.26,5.14,3.72,5.0,1.0,6.0
33-1091.00,First-Line Supervisors of Security Workers,enterprising|conventional|realistic|social|investigative|artistic,1.0,5.1,5.95,1.82,4.38,3.57,5.0,6.0,1.0
33-2011.00,Firefighters,realistic|conventional|social|enterprising|investigative|artistic,1.31,3.47,3.01,2.92,6.49,3.39,1.0,0.0,0.0
33-2021.00,Fire Inspectors and Investigators,realistic|conventional|investigative|enterprising|social|artistic,1.02,5.18,3.32,4.33,5.49,2.59,1.0,6.0,2.0
33-2022.00,Forest Fire Inspectors and Prevention Specialists,realistic|conventional|investigative|enterprising|social|artistic,1.11,4.57,3.41,3.56,6.35,3.18,1.0,6.0,0.0
33-3011.00,Bailiffs,realistic|conventional|enterprising|social|investigative|artistic,1.0,4.48,4.0,2.16,4.79,3.28,1.0,6.0,5.0
33-3012.00,Correctional Officers and Jailers,realistic|conventional|social|enterprising|investigative|artistic,1.05,4.81,3.16,1.69,5.33,3.86,1.0,6.0,4.0
33-3021.00,Detectives and Criminal Investigators,investigative|conventional|realistic|enterprising|social|artistic,1.2,4.83,4.04,4.9,4.18,2.73,2.0,6.0,1.0
33-3021.02,Police Identification and Records Officers,conventional|realistic|investigative|enterprising|social|artistic,1.58,5.64,2.93,3.68,4.83,1.97,6.0,1.0,2.0
33-3021.06,Intelligence Analysts,investigative|conventional|enterprising|realistic|artistic|social,2.11,5.37,3.84,5.77,2.33,1.91,2.0,6.0,5.0
33-3031.00,Fish and Game Wardens,realistic|conventional|investigative|enterprising|social|artistic,1.0,4.24,3.02,3.91,6.4,2.38,1.0,6.0,2.0
33-3041.00,Parking Enforcement Workers,realistic|conventional|enterprising|social|investigative|artistic,1.0,5.11,3.25,1.43,6.37,2.61,1.0,6.0,0.0
33-3051.00,Police and Sheriff's Patrol Officers,realistic|conventional|enterprising|social|investigative|artistic,1.07,4.35,4.08,2.76,5.36,3.45,1.0,6.0,5.0
33-3051.04,Customs and Border Protection Officers,conventional|enterprising|realistic|investigative|social|artistic,1.0,5.27,4.29,2.64,3.39,2.6,6.0,5.0,1.0
33-3052.00,Transit and Railroad Police,realistic|conventional|enterprising|social|investigative|artistic,1.0,4.94,3.21,2.28,6.17,2.51,1.0,6.0,0.0
33-9011.00,Animal Control Workers,realistic|conventional|investigative|social|enterprising|artistic,1.0,3.89,2.17,3.59,5.93,2.63,1.0,6.0,2.0
33-9021.00,Private Detectives and Investigators,conventional|enterprising|investigative|social|realistic|artistic,1.42,5.45,4.07,3.9,2.39,2.87,6.0,5.0,2.0
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,conventional|enterprising|realistic|investigative|social|artistic,1.0,5.62,4.78,2.17,4.14,2.15,6.0,5.0,1.0
33-9032.00,Security Guards,realistic|conventional|enterprising|social|investigative|artistic,1.0,4.76,2.88,2.29,6.41,2.64,1.0,6.0,0.0
33-9091.00,Crossing Guards and Flaggers,realistic|conventional|social|enterprising|investigative|artistic,1.11,3.62,3.0,1.65,5.86,3.08,1.0,6.0,0.0
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",realistic|social|conventional|enterprising|investigative|artistic,1.0,3.44,2.88,2.37,6.27,4.24,1.0,4.0,6.0
33-9093.00,Transportation Security Screeners,conventional|realistic|enterprising|social|investigative|artistic,1.0,5.51,2.61,2.01,5.21,2.45,6.0,1.0,0.0
33-9094.00,School Bus Monitors,social|conventional|realistic|enterprising|artistic|investigative,1.74,4.76,1.95,1.51,3.43,5.25,4.0,6.0,1.0
33-9099.02,Retail Loss Prevention Specialists,conventional|enterprising|realistic|investigative|social|artistic,1.0,5.67,4.77,3.44,3.9,2.71,6.0,5.0,1.0
35-1011.00,Chefs and Head Cooks,enterprising|realistic|conventional|social|artistic|investigative,2.72,4.35,5.13,1.68,4.84,2.95,5.0,1.0,6.0
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,enterprising|conventional|realistic|social|investigative|artistic,1.25,4.72,6.36,1.38,4.6,3.37,5.0,6.0,1.0
35-2011.00,"Cooks, Fast Food",realistic|conventional|enterprising|social|artistic|investigative,1.85,4.32,3.36,1.38,6.33,2.42,1.0,6.0,5.0
35-2012.00,"Cooks, Institution and Cafeteria",realistic|conventional|social|enterprising|artistic|investigative,2.01,4.35,3.16,1.83,5.9,3.17,1.0,6.0,0.0
35-2013.00,"Cooks, Private Household",realistic|social|artistic|conventional|enterprising|investigative,3.77,3.71,3.55,1.4,4.98,3.78,1.0,4.0,3.0
35-2014.00,"Cooks, Restaurant",realistic|conventional|enterprising|social|artistic|investigative,2.71,3.8,3.69,1.56,5.63,2.88,1.0,6.0,5.0
35-2015.00,"Cooks, Short Order",realistic|conventional|enterprising|social|artistic|investigative,2.27,4.37,3.68,1.0,6.13,3.19,1.0,6.0,5.0
